name_ar,governorate_ar,district,town,gender,birth_year,age,selection_method,category,status,source_url,member_number,management_position
اقبال محمد منصور,ادلب,حارم,دير حسان,M,1982,44,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,70,
حسام الدين عبدالرزاق دبيس,ادلب,إدلب المدينة,,M,1981,45,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,77,
حسن إبراهيم دغيم,ادلب,معرة النعمان,جرجناز,M,1976,49,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,148,
خالد أحمد السلوم,ادلب,خان شيخون,حيش,M,1976,50,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,72,
طاهر عوض عبدالباقي,ادلب,أريحا,محمبل,M,1970,56,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,75,
عبدالحسيب خالد دغمش,ادلب,أريحا,كفرنجد,M,1986,40,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,76,
عبدالرزاق سعد عوض,ادلب,إدلب المدينة,زردنا,M,1988,38,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,79,
فاطمة عبد اللطيف اليوسف,ادلب,,,F,1991,34,تعيين,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,176,
فرج راكان العقدة,ادلب,معرة النعمان,كفرومة,M,1982,44,انتخابات,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,69,
مازن أحمد غزال,ادلب,ادلب,تفتناز,M,1970,56,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,78,
محمد فراس محمد بديع الجندي,ادلب,معرة النعمان,معرة النعمان,M,1958,68,انتخابات,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,68,
محمد نايف بلعاس,ادلب,,,M,1981,44,تعيين,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,190,
مرفت محمد صبحي توتو,ادلب,إدلب,,F,1981,44,تعيين,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,193,
مصطفى عبدالوهاب موسى,ادلب,جسر الشغور,الحمامة,M,1977,49,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,73,نائب أول لرئيس المجلس
نجوى بهجت قصاص,ادلب,سرمين,,F,1975,50,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,201,
