module	method	path	server_evidence	mobile_evidence	auth	role	port_status
home	GET	/api/mobile/home	app/Http/Controllers/Mobile/PublicContentController.php	mobile/src/features/Home/api.ts	public	none	implemented
board_sync_get	GET	/api/v1/board	app/Http/Controllers/BoardController.php	mobile/src/features/Board/api.ts	stateful session or verified mobile bearer	authenticated	implemented
board_sync_put	PUT	/api/v1/board	app/Http/Controllers/BoardController.php	mobile/src/features/Board/api.ts	stateful session or verified mobile bearer	authenticated	implemented
board_answers	GET	/api/answers?limit={limit}	app/Http/Controllers/AnswersController.php	mobile/src/features/Board/sources.ts	public	none	implemented
board_events	GET	/api/events/today?governorate={governorate}	app/Http/Controllers/EventsController.php	mobile/src/features/Board/sources.ts	public	none	implemented
board_feed	GET	/api/feed?source={source}	app/Http/Controllers/FeedController.php	mobile/src/features/Board/sources.ts	public	none	implemented
board_prayer_times	GET	/api/prayer-times?governorate={governorate}	app/Http/Controllers/PrayerController.php	mobile/src/features/Board/sources.ts|mobile/src/features/Roznama/data.ts	public	none	implemented
board_recipe	GET	/api/recipe-of-the-day	app/Http/Controllers/RecipeController.php	mobile/src/features/Board/sources.ts	public	none	implemented
board_weather	GET	/api/weather?governorate={governorate}	app/Http/Controllers/WeatherController.php	mobile/src/features/Board/sources.ts|mobile/src/features/Roznama/data.ts	public	none	implemented
weather	GET	https://syrianzone.hade-alahmad1.workers.dev	-	mobile/src/lib/home/widgets.ts	public	none	direct-external
prayer_times	GET	https://api.aladhan.com/v1/timings/{date}	-	mobile/src/lib/home/widgets.ts|mobile/src/features/Roznama/data.ts	public	none	direct-external
events	POST	https://event-backend-production-18c4.up.railway.app/graphql	-	mobile/src/components/F3aliaEvents.model.ts	public	none	direct-external
official_accounts	GET	/api/mobile/official-accounts	app/Http/Controllers/Mobile/PublicContentController.php|app/Services/PublicContent/DirectoryDataService.php	mobile/src/lib/api/directories.ts	public	none	implemented
phonebook	GET	/api/mobile/phonebook	app/Http/Controllers/Mobile/PublicContentController.php|app/Services/PublicContent/DirectoryDataService.php	mobile/src/lib/api/directories.ts	public	none	implemented
sites	GET	/api/mobile/sites	app/Http/Controllers/Mobile/PublicContentController.php	mobile/src/lib/api/directories.ts	public	none	implemented
sites_upstream	GET	https://docs.google.com/spreadsheets/d/e/2PACX-1vTCrz7GpfTDmtgKipQd3IqyMPle1ehoG77VO2SQRDqKC9zRRKO3FDI60VoYhA_XqlzoKQ6gZDrIuIjL/pub?output=csv	app/Services/PublicContent/DirectoryDataService.php	-	server-only	none	server-only-external
parties	GET	/api/mobile/parties	app/Http/Controllers/Mobile/PublicContentController.php	mobile/src/lib/api/directories.ts	public	none	implemented
parties_upstream	GET	https://docs.google.com/spreadsheets/d/e/2PACX-1vTxa48kbdV2X5Umd3WGDeU7xX5qFVRpyA3uDFhI9w2FAOuxSiGebSpKrVpjU-13XswnNgxHvfWw-sbJ/pub?output=csv	app/Services/PublicContent/DirectoryDataService.php	-	server-only	none	server-only-external
government_apps	GET	/api/mobile/government-apps	app/Http/Controllers/Mobile/PublicContentController.php|app/Services/PublicContent/DirectoryDataService.php	mobile/src/lib/api/directories.ts	public	none	implemented
government_app_icon	GET	/api/app-icon	routes/api.php	mobile/src/lib/api/directories.ts	public	none	implemented
government_app_icon_apple_upstream	GET	https://itunes.apple.com/lookup?id={id}	routes/api.php	-	server-only	none	server-only-external
government_app_icon_play_upstream	GET	https://play.google.com/store/apps/details?id={package}&hl=en	routes/api.php	-	server-only	none	server-only-external
admin_syofficial_list	GET	/api/mobile/admin/syofficial	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.create|syofficial.delete|syofficial.edit|syofficial.reorder|syofficial.toggle|*	implemented
admin_syofficial_category_create	POST	/api/mobile/admin/syofficial/categories	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.create|*	implemented
admin_syofficial_category_update	PUT	/api/mobile/admin/syofficial/categories/{id}	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.edit|*	implemented
admin_syofficial_category_delete	DELETE	/api/mobile/admin/syofficial/categories/{id}	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.delete|*	implemented
admin_syofficial_entity_create	POST	/api/mobile/admin/syofficial/entities	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.create|*	implemented
admin_syofficial_entity_update	POST	/api/mobile/admin/syofficial/entities/{id}	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.edit|*	implemented
admin_syofficial_entity_visibility	PATCH	/api/mobile/admin/syofficial/entities/{id}/visibility	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.toggle|*	implemented
admin_syofficial_entity_delete	DELETE	/api/mobile/admin/syofficial/entities/{id}	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.delete|*	implemented
admin_syofficial_categories_reorder	POST	/api/mobile/admin/syofficial/reorder/categories	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.reorder|*	implemented
admin_syofficial_entities_reorder	POST	/api/mobile/admin/syofficial/reorder/entities	app/Http/Controllers/Mobile/SyOfficialAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|syofficial_admin|syofficial.reorder|*	implemented
admin_govapps_list	GET	/api/mobile/admin/govapps	app/Http/Controllers/Mobile/GovAppsAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|govapps_admin|govapps.create|govapps.delete|govapps.edit|govapps.reorder|govapps.toggle|*	implemented
admin_govapps_create	POST	/api/mobile/admin/govapps	app/Http/Controllers/Mobile/GovAppsAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|govapps_admin|govapps.create|*	implemented
admin_govapps_update	POST	/api/mobile/admin/govapps/{id}	app/Http/Controllers/Mobile/GovAppsAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|govapps_admin|govapps.edit|*	implemented
admin_govapps_visibility	PATCH	/api/mobile/admin/govapps/{id}/visibility	app/Http/Controllers/Mobile/GovAppsAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|govapps_admin|govapps.toggle|*	implemented
admin_govapps_delete	DELETE	/api/mobile/admin/govapps/{id}	app/Http/Controllers/Mobile/GovAppsAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|govapps_admin|govapps.delete|*	implemented
admin_govapps_reorder	POST	/api/mobile/admin/govapps/reorder	app/Http/Controllers/Mobile/GovAppsAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|govapps_admin|govapps.reorder|*	implemented
admin_phonebook_list	GET	/api/mobile/admin/phonebook	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.create|phonebook.delete|phonebook.edit|phonebook.reorder|phonebook.toggle|*	implemented
admin_phonebook_category_create	POST	/api/mobile/admin/phonebook/categories	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.create|*	implemented
admin_phonebook_category_update	PUT	/api/mobile/admin/phonebook/categories/{id}	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.edit|*	implemented
admin_phonebook_category_delete	DELETE	/api/mobile/admin/phonebook/categories/{id}	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.delete|*	implemented
admin_phonebook_entry_create	POST	/api/mobile/admin/phonebook/entries	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.create|*	implemented
admin_phonebook_entry_update	PUT	/api/mobile/admin/phonebook/entries/{id}	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.edit|*	implemented
admin_phonebook_entry_visibility	PATCH	/api/mobile/admin/phonebook/entries/{id}/visibility	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.toggle|*	implemented
admin_phonebook_entry_delete	DELETE	/api/mobile/admin/phonebook/entries/{id}	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.delete|*	implemented
admin_phonebook_categories_reorder	POST	/api/mobile/admin/phonebook/reorder/categories	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.reorder|*	implemented
admin_phonebook_entries_reorder	POST	/api/mobile/admin/phonebook/reorder/entries	app/Http/Controllers/Mobile/PhonebookAdminController.php	mobile/src/lib/api/directories/admin.ts	bearer	admin|superadmin|phonebook_admin|phonebook.reorder|*	implemented
house	GET	/api/mobile/house?mode={mode}&province={province}	app/Http/Controllers/Mobile/PublicContentController.php	mobile/src/features/House/data.ts	public	none	implemented
house_upstream	GET	https://docs.google.com/spreadsheets/d/{sheetId}/export?format=csv&gid={gid}	app/Services/PublicContent/HouseDataService.php	-	server-only	none	server-only-external
polls	GET	/api/mobile/polls	app/Http/Controllers/Mobile/PollController.php	mobile/src/lib/api/polls.ts	public	none	implemented
poll	GET	/api/mobile/polls/{idOrSlug}	app/Http/Controllers/Mobile/PollController.php	mobile/src/lib/api/polls.ts	public	none	implemented
poll_leaderboard	GET	/api/mobile/polls/{idOrSlug}/leaderboard	app/Http/Controllers/Mobile/PollController.php	mobile/src/lib/api/polls.ts	public	none	implemented
poll_vote	POST	/api/mobile/polls/{idOrSlug}/votes	app/Http/Controllers/Mobile/PollController.php	mobile/src/lib/api/polls.ts	installation id	none	implemented
poll_list_legacy	GET	/api/polls	app/Http/Controllers/PollController.php	mobile/src/lib/api/pollsLegacy.ts	public	none	fallback
poll_legacy	GET	/api/polls/{slug}	app/Http/Controllers/PollController.php	mobile/src/lib/api/pollsLegacy.ts	public	none	fallback
poll_leaderboard_legacy	GET	/api/polls/{slug}/leaderboard?status={status}	app/Http/Controllers/PollController.php	mobile/src/lib/api/pollsLegacy.ts	public	none	fallback
poll_vote_legacy	POST	/api/submit	app/Http/Controllers/PollController.php	mobile/src/lib/api/pollsLegacy.ts	installation id	none	fallback
contributors	GET	/api/mobile/contributors	app/Http/Controllers/Mobile/PublicContentController.php	mobile/src/features/SyrianContributors/api.ts	public	none	implemented
contributor	GET	/api/mobile/contributors/{username}	app/Http/Controllers/Mobile/PublicContentController.php	-	public	none	server-only
population	GET	/api/population/master	app/Http/Controllers/Api/PopulationAtlasController.php	mobile/src/features/Population/lib/data-fetcher.ts	public	none	implemented
population_environment	GET	/api/population/env-report	app/Http/Controllers/Api/PopulationAtlasController.php	mobile/src/features/Population/lib/data-fetcher.ts	public	none	implemented
places_map	GET	/api/v1/places/map	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	public with optional verified mobile bearer	none	implemented
places_geocode	GET	/api/v1/places/geocode	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	public with optional verified mobile bearer	none	implemented
places_guides	GET	/api/v1/guides	app/Http/Controllers/PlaceDiscoveryController.php	mobile/src/features/Places/_lib/api.ts	public with optional verified mobile bearer	none	implemented
places_photo_grid	GET	/api/v1/places/photos	app/Http/Controllers/PlaceDiscoveryController.php	mobile/src/features/Places/_lib/api.ts	public with optional verified mobile bearer	none	implemented
places_list	GET	/api/v1/places	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	public with optional verified mobile bearer	none	implemented
places_nearby	GET	/api/v1/places/nearby	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	public with optional verified mobile bearer	none	implemented
places_detail	GET	/api/v1/places/{id}	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	public with optional verified mobile bearer	none	implemented
places_submit	POST	/api/v1/places	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	none	implemented
places_mine	GET	/api/v1/my/places	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	none	implemented
places_owner_update_location	PATCH	/api/v1/my/places/{id}/location	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	owner	implemented
places_owner_update_details	PATCH	/api/v1/my/places/{id}	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	owner	implemented
places_owner_photo_add	POST	/api/v1/my/places/{id}/photos	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	owner	implemented
places_owner_resubmit	POST	/api/v1/my/places/{id}/resubmit	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	owner	implemented
places_owner_delete	DELETE	/api/v1/my/places/{id}	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	owner	implemented
places_owner_photo_delete	DELETE	/api/v1/my/place-photos/{id}	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	owner	implemented
places_owner_photo_rotate	POST	/api/v1/my/place-photos/{id}/rotate	app/Http/Controllers/PlaceController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	owner	implemented
places_saves	GET	/api/v1/my/saves	app/Http/Controllers/PlaceEngagementController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	none	implemented
places_save	POST	/api/v1/places/{id}/save	app/Http/Controllers/PlaceEngagementController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	none	implemented
places_unsave	DELETE	/api/v1/places/{id}/save	app/Http/Controllers/PlaceEngagementController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	none	implemented
places_admin_list	GET	/api/v1/admin/places	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
places_admin_approve	POST	/api/v1/admin/places/{id}/approve	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
places_admin_reject	POST	/api/v1/admin/places/{id}/reject	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
places_admin_update	PATCH	/api/v1/admin/places/{id}	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
places_admin_delete	DELETE	/api/v1/admin/places/{id}	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
places_admin_photo_add	POST	/api/v1/admin/places/{id}/photos	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
places_admin_photo_rotate	POST	/api/v1/admin/place-photos/{id}/rotate	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
places_admin_photo_replace	POST	/api/v1/admin/place-photos/{id}/replace	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
places_admin_photo_delete	DELETE	/api/v1/admin/place-photos/{id}	app/Http/Controllers/PlaceAdminController.php	mobile/src/features/Places/_lib/api.ts	stateful session or verified mobile bearer	admin|superadmin	implemented
transit_cities	GET	/api/v1/cities	app/Http/Controllers/Api/V1/TransitController.php	mobile/src/features/Transit/api.ts	public	none	implemented
transit_routes	GET	/api/v1/cities/{id}/routes	app/Http/Controllers/Api/V1/TransitController.php	mobile/src/features/Transit/api.ts	public	none	implemented
transit_map	GET	/api/v1/cities/{id}/map-data	app/Http/Controllers/Api/V1/TransitController.php	mobile/src/features/Transit/api.ts	public	none	implemented
transit_nearby	GET	/api/v1/stops/nearby	app/Http/Controllers/Api/V1/TransitController.php	mobile/src/features/Transit/api.ts	public	none	implemented
transit_search	GET	/api/v1/search	app/Http/Controllers/Api/V1/TransitController.php	mobile/src/features/Transit/api.ts	public	none	implemented
transit_route_detail	GET	/api/mobile/transit/cities/{cityId}/routes/{routeId}	app/Http/Controllers/Mobile/PublicContentController.php	mobile/src/features/Transit/api.ts	public	none	implemented
transit_contribution	POST	/api/v1/studio/routes	app/Http/Controllers/TransitStudioController.php	mobile/src/features/Transit/api.ts	optional bearer	none	implemented
transit_studio_draft	GET	/api/v1/studio/routes/{id}	app/Http/Controllers/TransitStudioController.php	mobile/src/features/Transit/api.ts	stateful session or verified mobile bearer	owner|admin|transit_admin|superadmin	implemented
transit_studio_draft_update	PUT	/api/v1/studio/routes/{id}	app/Http/Controllers/TransitStudioController.php	mobile/src/features/Transit/api.ts	stateful session or verified mobile bearer	owner|admin|transit_admin|superadmin	implemented
transit_studio_from_route	GET	/api/v1/studio/routes/{id}/from-route	app/Http/Controllers/TransitStudioController.php	mobile/src/features/Transit/api.ts	stateful session or verified mobile bearer	authenticated	implemented
transit_admin_routes	GET	/api/v1/admin/routes	app/Http/Controllers/TransitAdminController.php	-	stateful web session	admin|transit_admin|superadmin	server-only
transit_admin_route_logs	GET	/api/v1/admin/routes/logs	app/Http/Controllers/TransitAdminController.php	-	stateful web session	admin|transit_admin|superadmin	server-only
