data_type,source_id,source_url,date,note,city_name,population
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Damascus,4066006
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Aleppo,3086786
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Homs,1143619
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Lattakia,644135
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Hamah,601523
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Idlib,375865
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Dayr Az Zawr,360749
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Dara,313204
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Tartus,285049
population,1,https://data.humdata.org/dataset/worldpop-population-counts-for-syrian-arab-republic,2020,Population within 15km radius,Al Ḥasakah,260319
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Damascus,2584771
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Aleppo,2003671
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Homs,775404
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Lattakia,700000
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Hamah,696863
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Ar Raqqah,299824
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Dayr Az Zawr,271800
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Al Ḥasakah,188160
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Idlib,165000
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Dara,146481
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Tartus,89457
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,As Suwayda,64730
population,2,https://simplemaps.com/data/sy-cities,unknown,City proper population,Quneitra,153
population,3,https://data.who.int/countries/760,2023,WHO data for 2024 projections,Damascus,2400000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Aleppo,4118000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Al Ḥasakah,1865000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Ar Raqqah,940000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,As Suwayda,540000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Damascus,2103000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Dara,966000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Dayr Az Zawr,1267000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Hamah,2147000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Homs,1790000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Idlib,1172000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Lattakia,1346000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Quneitra,124000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Rif Dimashq,3372000
population,4,https://www.geo-ref.net/en/syr.htm,2021,Governorate populations,Tartus,1172000
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Aleppo,2098210
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Damascus,1569394
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Homs,775404
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Lattakia,709000
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Ar Raqqah,531952
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Hamah,460602
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Tartus,458327
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Al Ḥasakah,422445
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Dayr Az Zawr,271800
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Idlib,128840
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Dara,97969
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,As Suwayda,59052
population,5,https://www.worldometers.info/world-population/syria-population/,2025,City population estimates,Quneitra,36143
idp,8,https://data.humdata.org/dataset/syria-idp-movements-and-spontaneous-return-movements,2024-09-30,OCHA UNHCR,Aleppo,2044468
idp,8,https://data.humdata.org/dataset/syria-idp-movements-and-spontaneous-return-movements,2024-09-30,OCHA UNHCR,Al Ḥasakah,1010782
idp,8,https://data.humdata.org/dataset/syria-idp-movements-and-spontaneous-return-movements,2024-09-30,OCHA UNHCR,Ḩamāh,712104
